text,label
uma pintarnya heh nang merajia aturan tu aturan bapak ai tapi bisi akal lawan akal jua gasan bapikir amun apa tujuannya merajia wadah makan sorang ni muslim jua nah nang ngarannya puasa tu menahan hawa nafsu lawan godaan lainnya menahani urang melakukan kegiatan masing masing mun kada tapi siap iman lawan mental sagan bepuasa kena haja puasanya tunggu siap aja niatnya rumah makan babi dirazia bungul gila hormat naujubilah,1
karna terlalu kenyamanan pang gawiannya lalu nang telihat haja nang jadi sasaran nang kada terlihat dibiarkan warung sakadup sing banyakan maka warung non halal nah dipalarnya koler kah bekujuk ngalih banar kah mamakai kepala gasan bepikir oh ini non halal kada amun jua mayoritas makan disini sadangkan warung sekadup halal behambur dimana mana kanapa kada mencari nang itu aja mahir kenyamanan lalu kada bapikir lagi,1
bungul banar ini satuan polisi pamong prajanya supan lawan utak lawan harusnya supan banar lawan tuan guru sekumpul,1
hanyar ini melihat ada walikota wakil walikota kena mental kena hujat seindonesia raya handak silahturahmi tapi sudah terlanjur manutup komen amun umpat masuk perda jua nutup resto nutup komen,1
intinya ikam minirotas sudah lah nurut haja bubuhannya handak coba makan itu sudah om jangan kisah harat di negara mayoritas,1
iman nang lemah maka urang bejualan disalahkan peraturan gonggong maka dipertahankan sakit barangnya mengaku beriman tapi menutup rejeki urang lain,1
bungul sampai hujung,1
imannya lemah kada tapi harat akalnya kurang baik kebanyakan alasan kada jelas,1
rejeki urang dipikir nang muslim gin butuh biaya hidup perda gin manusia jua ai nang menjalankan dibari tuhan akal kada dipakai kah semalam pas covid jaka kadada nang mendangarnya jua tatap keliaran pina iya bawa aturan,1
julungi duit bulikan habis kesah tapi kena datanginya pulang sing apaan nah,1
perda bungul ikam amun lapar mamuyaki adupan,1
lantaran kemunafikan manis diluar dalamnya hibak kemunafikan,1
bah hiya budaya pungli,1
parah urang puasa eh gila hormat,1
satuan polisi pamong praja banjar buka puasa makan babi amun,1
dasar adupan kada bisi utak kah atau ajarannya agamanya emangnyari kesalahan,1
pemerintahnya mangalilu,1
dodol nih seharusnya dibiarkan buka lamahnya imannya apalagi dah jelas itu khusus kada urang kita kadada utak,1
raja meloco siapa jua nang handak batal puasa tapi makan babi ,1
padahal kada salah warung buka tergantung iman masing masing mun kada tahan awak ganal banar sudah sampai pacah aneh tatak haja gin ulah kalung,1
bah usir haja dari banjarmasin amun kada kawa taat aturan tu wani rekrut karyawan harus wani jua tanggung resikonya jangan diulah alasan gaji karyawan sagan alasan melanggar aturan,1
tampar koh ai,1
lagi berusaha iskaya di negara nang garing,1
satuan polisi pamong praja bungul,1
satuan polisi pamong praja tambuk mata duitan,1
satuan polisi pamong prajanya tambuk,1
himung satpolnya himung ada masalah,1
kisah menegakkan peraturan pemerintah ujar pemerintah becabur kasumur tahi pinanya hakun jua pang nang merazia tuh mehamba banar kapemerintah adupan,1
pak razia tarus amun kada razia kada dapat duit kah pak kasiannya duitnya dari hasil kada berkah sama sama nyaman haja pang handak inya buka atau kayaapa kanapa amun imannya nang puasa kuat kuat amun imannya kada kuat salah urangnya tu kada kuat iman,1
intinya perdanya bebungulan kanapa harus nangati urang bajualan amun sampai urang muslim nang hakun makan disitu bearti inya nang kada baakal,1
kisah mamvideo urang padahal buhan satuan polisi pamong praja nang kada masuk akal pemikirannya,1
loco buhan satuan polisi pamong praja ni lawak lalu terserah orang lah handak bajualan buka toko muslim atau non muslim serah buhannya ai buka warung apa masalahnya buhan satuan polisi pamong praja ni peraturan apa ujar kada masuk akal,1
nang ditugaskan bungul nang nyuruh nugaskan bungul lagi,1
buta huruf kayanya kada kawa mambedakan masakan non muslim lawan muslim,1
petugasnya ni kaya handak kelihatan ada gawian tu nah cuma buntat lawan luluputnya jadi hayal ai aku mangangkang,1
pemimpin kadrun,1
satuan polisi pamong praja sebarataan meloco kada sarana dibubarkan haja satuan polisi pamong praja kada baguna,1
satuan polisi pamong praja bayut iman,1
budak pemerintahan kadada toleransinya,1
perda haja isinya humor kurang bakomedi apalagi negara mongolia,1
bulan puasa di mana mana mencari pahala hanya satuan polisi pamong praja lah nang katuju mencari perkara,1
babungulan lalu heh kadada lalu toleransinya,1
amun kada kawa meurusi parut urang jangan meurusi rezeki urang,1
kebanyakkan aturan nang menyusahkan rayat kecil tahi mamang kaparat eh aparat toh ,1
bungul bungul sunyi kah tapalan jadi mendatangi warung babi,1
kebungulan manusia di abad modern wahini adalah razia tempat makanan di bulan puasa kanapa lah urang handak makan haja diatur,1
hantam satuan polisi pamong prajanya mun ulun nang bisi warung kada usah banyak bunyi langsung tampiling kada tahu urang tamban lagi satuan polisi pamong prajanya ,1
bagusnya ini nang mamvideo meloco banar buhan satuan polisi pamong praja nih seikung merazia seikung mamvideo seikung tukang foto seikung tukang habui seikung tukang menyabari beikung jadi penontonnya asli ai kota besar tapi utak lawan hatinya tidak ganal nol ganal hagin kinerja satuan polisi pamong praja kota banjarmasin beiman beuntung betuah aparatnya,1
unjuki sapiring sorang bulikan buhan satpolnya marajia warung kadada akal jaka marajia babuhan lahung babuhan lahung ngitu nang penyakit masyarakat,1
dasar peraturan bungul,1
oknum lawan peraturan ini malah mencerminkan kearoganan kepala daerah lawan satuan polisi pamong praja,1
lawak adupan itu maka hak urang ngarannya jua negara toleransi disuatu daerah kada sabuting agama wara nang jualan biar haja pang jualan itu mata pencaharian inya masalah urang puasa itu hak urang nang menjalani handak batal kah handak kada itu urusan inya lawan tuhan lain urusan pemda,1
makan gajih kada jelas,1
wahini pemimpin ketuju mengadu domba antara kedua belah pihak lah keren,1
nintu ngarannya tugas gongong bungul tambuk loco lawak banar lah bubuhannya nitu makan gaji dari sesumpahan rayat di dunia peharatnya di akhirat bubuhan nyawa balasannya sakit ingat umur gongong ae,1
satuan polisi pamong praja wan pemerintahnya tambuk lagi pilih sana pabila jua muslim makan babi mambari supan haja makan tu gaji buta bubuhan satuan polisi pamong praja ae,1
satuan polisi pamong praja pariman bekingan negara ,1
nang dirazia warung nang sudah kada halal sebungul bungulnya urang islam handak buka puasa kada amun kasitu nang merazia lagi bakomedi,1
urang nang kada puasa mun masih islam kada bungul jua amun sudah kada puasa pacahnya makan babi ha pulang dipikir akan si lagi,1
alasan cari kesalahan urang satuan polisi pamong praja lagi pol bangsat pol pp lagi,1
si paling puasa sampai merajia rajia,1
kada besahur pinanya nang razia tuh nalar akal kada dipakai,1
mara sipit wayah ni benyali banar,1
satuan polisi pamong praja banjarmasin utak bungul,1
sebuah kebungulan,1
kada pintar nang merazia tuh,1
si nang paling katuju meurusi dagangan urang pang ini mamunyaki rayat,1
kada karuan,1
kota ikam panduduknya muslim berataan kawan ai kasian kada buhanya nang kada puasa habis tu handak makan siang iya kalu bisi kompor kalu kadada bisi pang,1
karajinan bubuhan satpol nih maurusi puasa urang inya handak puasa kah handak kada kah urusan inya masing masing lawan tuhan lain urusan satuan polisi pamong praja,1
saku bulih satuan polisi pamong prajanya ijazah tk paling,1
satuan polisi pamong praja adupan bungul kada tapi pintar,1
pacangan banyak nang jadi kafir amun kaya ini tarus,1
kalu bapandir dipikirakan dulu acil ai,1
indomaret alfamart lotte mart wan lain lain kada tutup kah sakalian tanggung paraturan kada karuan di daerah banjarmasin ini takajut bisa nang datang mulai luar kota tatawa malihat banjarmasin nangini paraturan bahapal,1
sakahandaknya satuan polisi pamong praja nang di lawan minoritas jua pang ujarnya nih kawa napa inya,1
satuan polisi pamong praja ngini begawi kada bujur kada begawi kad bujur jua kaya apa am baiknya dibubar akan haja kah lagi,1
sudah ganal parut masih kacar lah maliati urang makan supan lawan gulu buhan satuan polisi pamong praja nangini,1
peraturan bahapal handak minta tangguh,1
nyaman ai di gajih pemerintah dari duit rayat maatur atur rayat ikam kah nang mambari makan buhan satuan polisi pamong praja,1
nangini habar motornya sambil jalan assalamullaikumnya di mana waalaikumsallam di mana jadi kada kada habar nang di sampaikan,1
himbauan haja amun perda pamacah balah nkri,1
mulai dulu kaya itu peraturannya apa nang di parmasalahkan kanapa wahini di parmasalahkan kayapa hagan nang non muslim sanak sudah ganal awak bisa ai bacari makan minta toleransi tapi kada manghargai bulan kaum mayoritas bebaya tutup siang malam kawa bajualan malah tambah banyak omsetnya ujar paraturannya tuh jangan makan ditempat hargai urang nang puasa masalah iman kada kuat bukan tantang iman tapi tantang manghargai bulan kaum mayoritas mintanya toleransi giliran kaum mayoritas minta jangan buka malah kadada manghargai loco,1
jadi tarkanal saindonesia dibahas di blog kanal anak bangsa judulnya kabijakan bahapal,1
rayat parlu solusi lain dibuat makanan jualnya jadi basi,1
kalsel oh kalsel di sabarataan kalimantan cuma kalsel wara nang kayaini intolerannya dimana wahai nang maulah paraturan,1
banjarmasin di lambung mangkurat jam balas orang puasa ada nang makan disana harat lalu,1
nang meulah aturan kada tahan meliat warung buka langsung babuka sidin pinanya makanya di ulah aturan kaitu supaya kada batal puasa sidin,1
perda tahun ribu lima zaman yudhi wahyuni kurang lebih tujuh balas tahun sudah perda bahapal nang maulah umat muslim jadi bulanan bahan uluan urang tiap tahun bungulnya masih ada nang mampartahankan atas ngaran toleransi kawadah nang bapuasa nang mulia amun ada komentar,1
nang baulah perda ni kada hapal sila kalima kah jadi baulah paraturan kaya ini nyaman ai amun saban bulan ada gajih pasti nang bajualan pang kayapa pak dikiranya nyaman bacari duit wahini,1
pasar wadai bulih buka jam nang pribadi jam hanyar bulih keadilannya dimana nang di pasar wadai itu buhan pedagang ganal brandnya sudah tarkanal nang pribadi ni nang kasihan becari gasan makan wara haja pak penguasa banjarmasin ai,1
perda tahun ribu lima halo wahini sudah tahun ribu puluh kayapa banjarmasin handak barkambang kalu acuan buhan pian buhan pemda setempat pada perda lawas tulung hormati jua urang lain kaya padagang makanan buhan piannyaman bagawi kantoran saban bulan dapat gajih sadangkan padagang kayapa nang nafkahnya bargantung pada hasil dagangannya mamangnya kalau ditutup buhan nang puasa akan full puasa setahu aku puasa itu adalah niat kadada hubungannya lawan paraturan padagang makanan diharuskan tutup pada jam nang ditantukan kalu nang puasa targoda salahakan niatnya kanapa lamah tu padagang kada marayu hagan ditukari jualan makanannya intinya kayaini haja karna kabanyakan warga khususunya warga banjarmasin kabaratan atas perda ini sudah tahu kasus viral samalam dari saudara kita sabaiknya lakas dilakukan rapat parubahan perda sudah katinggalan jaman itu wahini minyak lamak naik bahan bakar naik lpg naik bahan pokok jua pada naik kalu kami kada badagang mamangnya buhan pian hakun manghidupi biaya kabutuhan kami kada losudah yu pak biar banjarmasin itu adem aja tanpa rusuh baiknya saling manghormati wan manghargai non muslim manghormati wan manghargai bagi buhannya nang puasa dengan mambuka lawan g toko hagan bajualan makanan sadangkan nang muslim hargai wan hormati buhannya bajualan tulung bapak sabagai walikota banjarmasin ayomi lah kami dirumbak perdanya dangarakan suara kami warga banjarmasin nang kabanyakan padagang makanan mohon maaf bila kritik wan saran ulun mambuat babarapa sabagian urang jadi tasinggung salah kata ulun mohon maaf,1
ingat di atas langit masih ada langit jangan egois woi maulah paraturan,1
amunnya buhan satuan polisi pamong prajanya pang katahuan makan minum atau manukar nang barsifat malanggar paraturan di apakan langsung pecat lah,1
mun kada mambari makan jangan maurusi parut urang,1
wah wah makin gila haja ni negara,1
pina bungul,1
sudah riba tambahnya haram,1
maras korban nang dibunguli ada nang bunuh diri kaluarga hancur buronan injaman online wan lain lain samoga duit korban kawa tabulik,1
sampai mangaramputi kuitan lah hadeh ai purunnya pian,1
investasi berkedok judi bajunya haja investasi isi dalamnya judi di bunguli kauntungan hagan pribadinya padahal inya kada main,1
kurang kah yu gajih customer service di bank ni jadi umpatan kaya itu jua kada besyukur lalu,1
duit hasil korupsi dibawa bejudi liwar manusia iblis haja menyarah dapat inya nih,1
kamahiran bajudi pang ini pemerintah malihat akan haja kah jangan menyalah akan pelaku tarus amun kada dihabis akan nang meulah judi kadada habisnya,1
umaa bungul banar,1
waw bungul banar,1
bungul tingkat dewa,1
kehandakan lakas sugih timbul masuk panjara jadinya,1
mambari supan haja bungul banar amun tetamuku ku hantam pang lihat akan haja,1
wow bungul banar,1
handak sugih lakas tapi nang digawi kada baik tambuk lalu manusia kaya ini sampah masyarakat,1
pintarnya duit kuitan di main akan,1
kaya ini pang indonesia dimana urang handak lakas suguh pas duitnya habis manyalahakan urang lain padahal inya surang dengan sadarnya manyator duit di parjudian barkedok,1
bungul banar pemerintah,1
kada panting banar nang kaya ini nih maraha inya bejudi kada rugi jua kita inya haja jua nang kena,1
marasnya kuitan surang dibunguli kaitu heh,1
tambahi lagi kada dibawa mati jua harta tambahi lagi korupsinya,1
hukum mati haja nang meulah judinya amun kada dimatii bebanyak korbannya,1
bangsat bangat,1
bungul pada bidawang,1
wani banar mangorupsi duit urang gara gara targiur bajudi baampik iblis dapatnya iblis pada aku ujarnya,1
bebulat iblis beikungan ngini,1
tambuk lalu kelakuan,1
nang kaya ini langsung ja dimatii mengalihi mambari makan haja di penjara,1
napa kada batimpas heh kada rami lalu,1
polisi wahini tahu duitnya haja baulah sim dijadikannya duit amun masyarakat kada handak nang manapal duit dingalihinya tu pang sekira urang hakun manjulung duit,1
wahini penjahat nitu nang beseragam pang inya masuk menapal kalo lawan duit jadi mambulik akan duit inya lewat cara nang kada baik dikira halal kalo duitnya,1
kada nang halus nang ganal bakalahi haja gawian tulung nah pemerintah di aman akan haja kekanaknya nih diapai kah sorang jadi marasa kada aman amun handak kemana mana dapatnya,1
ini pang amun kada sakulah utak kada dipakai ditambah mabuk ha pulang pada saitan seikungan,1
hagin napa hidup baik mati haja nang kaya itu barabut mambari supan wayah ini hagin duit pada kadada nang ingatnya lawan allah,1
mudahan bamatian parak bulan puasa ngini bagus bakalakuan nyaman habis matian barataan nang kada baiknya nyaman masuk naraka,1
ada nang mati lah syukur banar tuh pang amun ada nang mati hilang beban masyarakat,1
marusak ngaran banjar haja kakanak ninih lawan jua nang jaga di sana kada usah di bari lagi napang diliat di pinggir sekitaran situ sagan baminuman haja jua pinanya,1
polisi ngini kadada pernah talihat baiknya haur buruknya haja nang talihat,1
asli tambuk nyawa nih,1
mambari supan ngaran banjarmasin haja nang kaya ini dikira urang diluar kaya ini haja banjarmasin kadada guna lalu hidup,1
sasakali nangkayani haur diluar tarus nang kalihatan tauran banjar kada bisa amun kawa sampai bamatian sakira harat sadikit,1
jangan dihalat sanak biar haja kalah manang jadi warik,1
kaungahan bakakalahian manang jadi harang kalah jadi habu kada pintar,1
kada rami kadada nang mati pang padahal bagus amun ada nang mati,1
pina kada pintar disakulah akan iya sampai muka sakulahan haja saku nih lalu pina mambungul haja kelakukan,1
cacat lalu sudah batis kadada handak utak kah pulang nang kadada,1
marusak kadamaian banjar haja ni kabiasan buruk daerah jawa jangan dibawa kasini,1
baisi tuhan kada babaju inya haja kadinginan handak dimintai tulung lah,1
ikam percaya lawan kitab ikam tuh nang sudah di ganti ganti pantas ai gawian kadada nang bujurnya,1
amun hakun percaya lawan yesus nitu tuhan kada beabah kaya apa nabi adam nang kada beabah bemama,1
cina lalu kelakuan handak teulang kah kejadian dahulu cina matian,1
kristen nih minoritas kisah banar di wadah urang kalo pina cagar sakit handak berharat harat,1
buhannya buntu akal sehat kada tau handak bekarya apa kadada kabisaan tahu bakalahi haja sampah masyarakat lalu lakasi matian,1
cina nyaman haja dibeda akan amun mata sipit pina pemalar iya nitu kada lain pada cina,1
cina nih mahir banar bajual balarang larang amun kada barang nang kada baik dijualnya sakira untung duit halus haja dipalarnya,1
heh bungul mambari supan haja ,1
kisah banar buhan cina gegara beduit kisah harat handak menjajak urang banjar,1
kisah bejagau jagau kekanankan nih dihantam urang bekiau kuitan jua handak jadi napa tahi lalu,1
ini amun kada ditanggulangi pemerintah ada tarus nang kaya ini gasan apa digajih amun kada begawi pegawainya nih,1
babungulan,1
hayo kuyak kapalanya,1
labat bulu palir masih bakalahian,1
woi kanapa mamanya bukah urang lagi baparang dasar mama kada harat,1
paling nyaman ngelem lawan gaduk lakas tarabang kaneraka,1
di situ rancak bila lewat urang minuman gaduk,1
ada nang rancak pina randah haja pina muha kaya perot bila malam kolehan duit tulak nukar alkohol lawan apa kah lagi di warung soalnya barapa kali taimbai kawarung pas bulik bagawi malam bila singgah kawarung maka manjalanakan kandaraan kaya ular baliyuk baliyuk maka laju pulang maka kada balampu pulang,1
lain jamannya lagi dah bakalahi wahini bapintaran mancari duit haja pintar ai amun kada tahu rasa dijajak cina dikepala,1
kada sakulah maknya pina bungul ,1
kadada gawian pang jadi meolah gawian nang kada sanunuh kena bepacaran batianan biniannya kada betanggung jawab tu kaya itu pang kananak wahini,1
ikam cina pang kada baguna lalu hidup disini ini lain banua hagin ikam ini banua kami bejauh ikam dari sini,1
kadada cara lain kah manyalasaikan masalah selain bakuntau babunuhan mun kayaitu banjar kada lagi bungas tapi mambari takutan,1
madura di kalimantan nih kisah harat banar bekelakukan nang kada baik haja ditagur kada tarima di lawan bepadah nang kada kada,1
madura ngini mahir karamput bepadah kada beduit beminta minta disini padahal di madura nitu ganal rumah,1
babinian nih tahu nyamannya haja kada tahu jadi lakian bacari duit datang karumah habis bagawi baminta duit padahal inya seharian tahu guring haja,1
siapa pamanangnya wan nang kalah amun bagi pemenangnya untuk di ambili wan di sambut polsek banjarmasin selatan wan nang kalah akan di arak bamotor ambulan wan di sambut satpam rumah sakit wan di layani oleh parawatnya,1
dasar kadada nang pintarnya tuh nasib jua,1
lihati haji isam tuh orang bugis kada urang banua dijajahnya kita urang banua di ulahnya hamba kita hakun haja urang dibungulinya,1
di kelayan nitu padangnya manusia kada baik salah sadikit dicucuknya urang belading kadada nang warasnya manusia disitu,1
hibak lawan cina haja banjarmasin nih kapalumpungannya cina sabarataan hilangan urang banjar dapatnya cina,1
ikam nitu cina siapa nang handak bakawan lawan nang pemalar kaya ikam,1
lanjutakan kawan kabungulunnya ,1
pantas ai di pindah ibu kota kalsel nih kada karuan pang banjarmasin kota nang kada baik nih haur bakalahian tarus,1
ada nang mati atau luka kah rasa kada katuju malihat amun kadada nang mati atawa luka,1
jangan ampih mun kada mati,1
manang jadi harang kalah jadi habu marusak ngaran banjar haja si bangsat nginih,1
apa lah bubuhan kakanak wahini apa apa kisah harat sakulah kada iya jadi tambuk,1
ada nang mati lah amun kadada nang mati barii parang sabuting sorang nyaman lakas matian,1
bungul bangsat tambuk,1
wani bakawan jua kalahi cuba pakai hukum rimba siapa kuat di hidup tapi jangan ditangah padang rami bakalahi biar mangurangi manusia utak jungkuk,1
julungi parang sabilah saurang nyaman mati lakas ranai,1
lagi situ lakas jara inya amun mati sesama nang bungul jua nang mati biarkan haja,1
barabut kunang urang gila,1
nah ini akibat sinetron pang haur bakalahian haja tv tuh kada baik lagi di tonton lawan kanakan wahini nih kada bujur bisa sakolah mahir lawan duit haja jadinya kaya nitu pang nang jelas kada baik kaya itu dipadahnya baik,1
nang kaya ini nih penyakit masyarakat amun kada di barasihi marigati ngaran banua nang kaya ini kadada hak asasinya lagi sudah amun kada disakiti kada bakal ampih pang inya manggawi,1
beban kuitan maras kuitannya bisi anak kaya ngini kena disambat kuitannya nang kada mamdahi padahal anaknya haja kalakuan kaya dajjal,1
kada usah dihalat biar akan aja sampai mati,1
kekanankan wahini kada tahu arti nyawa kisah harat bakamih haja balum lurus lagi kuitannya mambiar akan haja nyaman pang meulah anak,1
negeri ku sugih kelapa sawit pengeluar minyak sawit tapi minyak kurang ngalih dapat minyak kelapa sawit pula larang padahal negeri pengeluar minyak kelapa sawit ,1
baik nukar diwarung hamun kayatu bakajalan timbul susu lemek alfamart nitu ampun cina menyugihi cina haja buhan ikam,1
pemerintah kanyamanan rayat diolahnya sakit kaya ini,1
sawit salalu haja maulah masalah pemerintah nangini pasti sudah digawinya bacari duit nang kada halal haja gawian,1
 tiga koma anam triliun sanak lah buhan kam sudah pasti paham lah kayapa cara pemerintah mainnya pasti sudah,1
lagi haur maurus handak ampih kali kapamimpinan paman birin ujar kaina dulu urusan minyak lamak,1
ya kayaitu pang banyak janji pemerintah tapi kada bisa manjadiakannya ,1
negara karamputan nih rayatnya mahir bakaramput maginnya ai pemimpinnya,1
saurang nang bakabun sorang nang ngalih dapat hasilnya kada kah loco kalimantan nih dapatnya urang nang harat mambunguli bungul berataan jadinya,1
bungasnya negaraku ayo tiga periode jokowi mih sakira mannangsara akan rayat,1
minyak naik ini kagagalan dalam pemarintahan gara gara kada bujur bagawi makan duit rayat haja,1
munyak melihat nagara kaya ini pemerintahan tahu duit rayat haja inya rayat sakit kada tahu muha,1
mudahan hidup pimpinan negara jokowi lawan paman birin bahagia di dunia tarsiksa di akhirat pemimpin babungulan kada akal,1
ngeri ngeri sedap negara kebun sawit tarluas tarbanyak tapi nukar minyak lamak sampai barabut kayaitu partanyaannya kamana hasil sawit itu di kirim kadalam atau jangan jangan pemerintah kada kawa mangurus hasil bumi ini ,1
kaya mati kadada minyak lamak lah kawanya mulah hintalu ayam bajarang sop hintalu kocok kuah labih sehat pada basanga sanga kaya mati kadada minyak lamak yaa kacuali urang jualan aku maklumlah sadikit kalu hagan rumah tangganya banyak alternatif lain kada bisa mamasak kah jadi manyalah akan pemerintah tarus,1
ngerinya minyak tu banyak padahal nang sarakah banyak jua manumpuk hagan di parjualkan dengan haraga larang,1
bangsa surang jua penjajahnya pemerintah rasa belanda jahat pada belanda sekalinya,1
ngalih pemerintah ni tahu duitnya haja kada ikhlas tu pang duitku dipakai menggajih buhannya nih,1
lucu jua negara penghasil sawit maka ngalih minyak lamak lakas sehat negaraku semoga lakas matian buhan pemerintah nih,1
